Nr.,Zentrale,Typ,Turbinen-Leistung,Pumpen-Leistung,Mittl. Produktionserwartung in GWh,Inbetriebnahme,Konzessionsablauf,Label,Flusssystem
100100,Val Giuf,L,1.5,,6.1,1979,xxxx,,Rhein
101900,Ferrera 1,S/P,126,63,215.6,1962,2042,basic,Rhein
102000,Ferrera 2,L,4.4,,2.5,1963,2042,basic,Rhein
102100,Bärenburg,S,220,,491,1962,2042,basic,Rhein
